Execution_RealTime,symbol,Type,lots,OpenTime,Close Time,Open Price,Close Price,Profit_JPY,Pips,S/L,T/P
2025-12-27 04:13:11,USDJPY,SELL,0.07,2011-09-13 01:00:00,2011-09-13 20:00:00,1.36069,1.3700756952380952,-9855.0,-93.9,1.3700756952380952,0
2025-12-27 04:13:11,USDJPY,SELL,0.08,2011-09-14 10:00:00,2011-09-14 21:00:00,1.36645,1.3743572714285714,-9489.0,-79.1,1.3743572714285714,0
2025-12-27 04:13:11,USDJPY,SELL,0.15,2011-09-15 09:00:00,2011-09-15 17:00:00,1.37402,1.3784428142857144,-9951.0,-44.2,1.3784428142857144,0
2025-12-27 04:13:11,USDJPY,SELL,0.11,2011-09-16 05:00:00,2011-09-20 08:00:00,1.38764,1.3622,41976.0,254.4,1.3934867,0
2025-12-27 04:13:11,USDJPY,SELL,0.1,2011-09-21 04:00:00,2011-09-22 01:00:00,1.36702,1.3735915523809523,-9857.0,-65.7,1.3735915523809523,0
2025-12-27 04:13:11,USDJPY,SELL,0.1,2011-09-23 05:00:00,2011-09-23 09:00:00,1.34616,1.352784042857143,-9936.0,-66.2,1.352784042857143,0
2025-12-27 04:13:11,USDJPY,SELL,0.07,2011-09-28 09:00:00,2011-09-28 19:00:00,1.35741,1.367022614285714,-10093.0,-96.1,1.367022614285714,0
2025-12-27 04:13:11,USDJPY,SELL,0.07,2011-09-28 23:00:00,2011-10-03 19:00:00,1.36011,1.33638,24917.0,237.3,1.3692908333333331,0
2025-12-27 04:13:11,USDJPY,SELL,0.08,2011-10-05 12:00:00,2011-10-05 19:00:00,1.32878,1.3374128571428572,-10359.0,-86.3,1.3374128571428572,0
2025-12-27 04:13:11,USDJPY,SELL,0.09,2011-10-06 01:00:00,2011-10-06 17:00:00,1.33106,1.338647142857143,-10243.0,-75.9,1.338647142857143,0
2025-12-27 04:13:11,USDJPY,SELL,0.2,2011-10-07 13:00:00,2011-10-07 16:00:00,1.34253,1.3458471428571428,-9951.0,-33.2,1.3458471428571428,0
2025-12-27 04:13:11,USDJPY,SELL,0.05,2011-10-08 03:00:00,2011-10-10 16:00:00,1.33903,1.353252857142857,-10667.0,-142.2,1.353252857142857,0
2025-12-27 04:13:11,USDJPY,SELL,0.11,2011-10-11 05:00:00,2011-10-12 17:00:00,1.36419,1.3700965442993194,-9746.0,-59.1,1.3700965442993194,0
2025-12-27 04:13:11,USDJPY,SELL,0.12,2011-10-13 08:00:00,2011-10-14 22:00:00,1.37773,1.3835058540816325,-10397.0,-57.8,1.3835058540816325,0
2025-12-27 04:13:11,USDJPY,SELL,0.19,2011-10-17 09:00:00,2011-10-17 16:00:00,1.38619,1.3897142412937544,-10044.0,-35.2,1.3897142412937544,0
2025-12-27 04:13:11,USDJPY,SELL,0.04,2011-10-18 03:00:00,2011-10-24 14:00:00,1.37432,1.392022221611519,-10621.0,-177.0,1.392022221611519,0
2025-12-27 04:13:11,USDJPY,SELL,0.06,2011-10-24 22:00:00,2011-10-25 19:00:00,1.38408,1.395766242857143,-10518.0,-116.9,1.395766242857143,0
2025-12-27 04:13:11,USDJPY,SELL,0.11,2011-10-26 04:00:00,2011-10-26 22:00:00,1.39029,1.396197219047619,-9747.0,-59.1,1.396197219047619,0
2025-12-27 04:13:11,USDJPY,SELL,0.07,2011-10-27 07:00:00,2011-10-27 10:00:00,1.38752,1.3969874062646548,-9941.0,-94.7,1.3969874062646548,0
2025-12-27 04:13:11,USDJPY,SELL,0.08,2011-10-28 07:00:00,2011-10-31 19:00:00,1.41728,1.40114,19368.0,161.4,1.4251871571428572,0
2025-12-27 04:13:11,USDJPY,SELL,0.09,2011-11-02 06:00:00,2011-11-02 17:00:00,1.36963,1.3773616857142856,-10438.0,-77.3,1.3773616857142856,0
2025-12-27 04:13:11,USDJPY,SELL,0.07,2011-11-03 04:00:00,2011-11-04 02:00:00,1.37344,1.3834359714285713,-10496.0,-100.0,1.3834359714285713,0
2025-12-27 04:13:11,USDJPY,SELL,0.08,2011-11-07 08:00:00,2011-11-10 14:00:00,1.37876,1.35451,29100.0,242.5,1.3870805428571427,0
2025-12-27 04:13:11,USDJPY,SELL,0.09,2011-11-11 04:00:00,2011-11-11 17:00:00,1.3579,1.365180380952381,-9829.0,-72.8,1.365180380952381,0
2025-12-27 04:13:11,USDJPY,SELL,0.14,2011-11-12 04:00:00,2011-11-14 07:00:00,1.37474,1.3796030571428572,-10212.0,-48.6,1.3796030571428572,0
2025-12-27 04:13:11,USDJPY,SELL,0.11,2011-11-14 14:00:00,2011-11-15 09:00:00,1.37511,1.36338,19355.0,117.3,1.3809120857142858,0
2025-12-27 04:13:11,USDJPY,SELL,0.08,2011-11-16 22:00:00,2011-11-18 20:00:00,1.34779,1.3558084000000001,-9622.0,-80.2,1.3558084000000001,0
2025-12-27 04:13:11,USDJPY,SELL,0.06,2011-11-19 04:00:00,2011-11-24 10:00:00,1.35143,1.33654,13401.0,148.9,1.3617294952380954,0
2025-12-27 06:28:51,USDJPY,BUY,0.18,2012-12-03 09:00:00,2012-12-04 05:00:00,1.30024,1.30536,13824.0,51.2,1.2965650952380952,0
2025-12-27 06:28:51,USDJPY,SELL,0.1,2012-12-05 23:00:00,2012-12-05 23:00:00,1.30741,1.30741,0.0,0.0,0.0,0
2025-12-27 06:28:51,USDJPY,BUY,0.42,2012-12-05 23:00:00,2012-12-06 09:00:00,1.30741,1.3058246190476188,-9988.0,-15.9,1.3058246190476188,0
2025-12-27 06:28:51,USDJPY,BUY,0.5,2012-12-06 13:00:00,2012-12-06 16:00:00,1.30553,1.3042074428571429,-9919.0,-13.2,1.3042074428571429,0
2025-12-27 06:28:51,USDJPY,BUY,0.16,2012-12-06 21:00:00,2012-12-06 22:00:00,1.30766,1.3033636714285715,-10311.0,-43.0,1.3033636714285715,0
2025-12-27 06:28:51,USDJPY,BUY,0.48,2012-12-07 08:00:00,2012-12-07 16:00:00,1.29612,1.2947384523809524,-9947.0,-13.8,1.2947384523809524,0
2025-12-27 06:28:51,USDJPY,BUY,0.1,2012-12-08 00:00:00,2012-12-12 12:00:00,1.29276,1.3002,11160.0,74.4,0.0,0
2025-12-27 06:28:51,USDJPY,BUY,0.15,2012-12-13 15:00:00,2012-12-13 18:00:00,1.30955,1.3052057714285714,-9775.0,-43.4,1.3052057714285714,0
2025-12-27 06:28:51,USDJPY,BUY,0.18,2012-12-14 03:00:00,2012-12-17 14:00:00,1.30767,1.31587,22140.0,82.0,1.3039815428571429,0
2025-12-27 06:28:51,USDJPY,BUY,0.41,2012-12-19 08:00:00,2012-12-20 05:00:00,1.32285,1.32406,7441.0,12.1,1.3212149380952378,0
2025-12-27 06:28:51,USDJPY,BUY,0.18,2012-12-20 15:00:00,2012-12-21 11:00:00,1.3217,1.3179872,-10025.0,-37.1,1.3179872,0
2025-12-27 06:28:51,USDJPY,BUY,0.16,2012-12-21 17:00:00,2012-12-21 23:00:00,1.32167,1.3174126,-10218.0,-42.6,1.3174126,0
2025-12-27 06:28:51,USDJPY,BUY,0.24,2012-12-22 05:00:00,2012-12-27 02:00:00,1.31829,1.32232,14508.0,40.3,1.315519757142857,0
2025-12-27 06:28:51,USDJPY,BUY,0.1,2012-12-27 11:00:00,2012-12-28 00:00:00,1.32352,1.3213837857142856,-3204.0,-21.4,0.0,0
2025-12-27 06:28:51,USDJPY,BUY,0.14,2012-12-28 08:00:00,2012-12-28 18:00:00,1.32478,1.319957976190476,-10126.0,-48.2,1.319957976190476,0
2025-12-27 06:28:51,USDJPY,BUY,0.11,2012-12-29 04:00:00,2013-01-02 18:00:00,1.32216,1.32645,7078.0,42.9,1.3162985,0
2025-12-27 06:28:51,USDJPY,BUY,0.28,2013-01-02 23:00:00,2013-01-02 23:00:00,1.32537,1.32537,0.0,0.0,1.3229670380952379,0
2025-12-27 06:28:51,USDJPY,BUY,0.27,2013-01-02 23:00:00,2013-01-03 02:00:00,1.32537,1.322859914285714,-10166.0,-25.1,1.322859914285714,0
2025-12-27 06:28:51,USDJPY,BUY,0.16,2013-01-03 17:00:00,2013-01-03 19:00:00,1.3164,1.3121463433668716,-10209.0,-42.5,1.3121463433668716,0
2025-12-27 06:28:51,USDJPY,BUY,0.22,2013-01-03 22:00:00,2013-01-04 04:00:00,1.31107,1.3080138305963716,-10085.0,-30.6,1.3080138305963716,0
2025-12-27 06:28:51,USDJPY,BUY,0.37,2013-01-04 12:00:00,2013-01-04 16:00:00,1.30301,1.3011943471031737,-10077.0,-18.2,1.3011943471031737,0
2025-12-27 06:28:51,USDJPY,BUY,0.1,2013-01-05 03:00:00,2013-01-08 15:00:00,1.30562,1.31157,8925.0,59.5,0.0,0
2025-12-27 06:28:51,USDJPY,BUY,0.25,2013-01-09 10:00:00,2013-01-09 20:00:00,1.30778,1.3051028571428571,-10039.0,-26.8,1.3051028571428571,0
2025-12-27 06:28:51,USDJPY,BUY,0.22,2013-01-10 05:00:00,2013-01-11 10:00:00,1.30628,1.32515,62271.0,188.7,1.3032620952380953,0
2025-12-27 06:28:51,USDJPY,BUY,0.27,2013-01-12 06:00:00,2013-01-14 19:00:00,1.33424,1.33644,8910.0,22.0,1.331813533333333,0
2025-12-27 06:28:51,USDJPY,BUY,0.15,2013-01-16 00:00:00,2013-01-16 03:00:00,1.3348,1.3302049999999999,-10339.0,-46.0,1.3302049999999999,0
2025-12-27 06:28:51,USDJPY,BUY,0.18,2013-01-16 08:00:00,2013-01-16 16:00:00,1.33088,1.3271070952380952,-10187.0,-37.7,1.3271070952380952,0
2025-12-27 06:28:51,USDJPY,BUY,0.14,2013-01-17 03:00:00,2013-01-18 20:00:00,1.33,1.33523,10983.0,52.3,1.325093457142857,0
2025-12-27 08:16:33,USDJPY,BUY,0.23,2012-09-25 01:00:00,2012-09-26 02:00:00,1.29142,1.29481,11696.0,33.9,1.2884931666666666,0
2025-12-27 08:16:33,USDJPY,BUY,0.26,2012-09-27 03:00:00,2012-09-28 00:00:00,1.28592,1.2833566857142862,-9997.0,-25.6,1.2833566857142862,0
2025-12-27 08:16:33,USDJPY,BUY,0.08,2012-09-28 05:00:00,2012-10-01 08:00:00,1.29132,1.2829086451632645,-10094.0,-84.1,1.2829086451632645,0
2025-12-27 08:16:33,USDJPY,BUY,0.3,2012-10-01 12:00:00,2012-10-02 02:00:00,1.28205,1.28967,34290.0,76.2,1.2798317714285714,0
2025-12-27 08:16:33,USDJPY,BUY,0.26,2012-10-02 16:00:00,2012-10-03 08:00:00,1.28966,1.2911,5616.0,14.4,1.2870680904761904,0
2025-12-27 08:16:33,USDJPY,BUY,0.19,2012-10-04 00:00:00,2012-10-05 08:00:00,1.29085,1.30126,29669.0,104.1,1.287426980952381,0
2025-12-27 08:32:11,USDJPY,BUY,0.24,2023-01-11 01:00:00,2023-01-13 13:00:00,1.07362,1.08398,37296.0,103.6,1.0707906952380952,0
